tls_id,tls_csv,sample_id,area,tls_type
TLS_J17136_P02_1_1,export_TLS_J17136_P02_1_1.csv,TLS_J17136_P02_1,210288,mature
TLS_J17136_P02_2_1,export_TLS_J17136_P02_2_1.csv,TLS_J17136_P02_2,135762,mature
TLS_J17136_P03_1_1,export_TLS_J17136_P03_1_1.csv,TLS_J17136_P03_1,335583,mature
TLS_J17136_P03_2_1,export_TLS_J17136_P03_2_1.csv,TLS_J17136_P03_2,92403,involuted
TLS_J17136_P03_3_1,export_TLS_J17136_P03_3_1.csv,TLS_J17136_P03_3,171612,mature
TLS_J17136_P03_4_1,export_TLS_J17136_P03_4_1.csv,TLS_J17136_P03_4,139397,mature
TLS_J17136_P07_1_1,export_TLS_J17136_P07_1_1.csv,TLS_J17136_P07_1,219773,mature
TLS_J17136_P08A_1_1,export_TLS_J17136_P08A_1_1.csv,TLS_J17136_P08A_1,216148,mature
TLS_J17136_P08B_1_1,export_TLS_J17136_P08B_1_1.csv,TLS_J17136_P08B_1,75703,mature
TLS_J17136_P08B_2_1,export_TLS_J17136_P08B_2_1.csv,TLS_J17136_P08B_2,70409,involuted
TLS_J17136_P12_1_1,export_TLS_J17136_P12_1_1.csv,TLS_J17136_P12_1,99126,mature
TLS_J17136_P12_2_1,export_TLS_J17136_P12_2_1.csv,TLS_J17136_P12_2,51372,mature
TLS_J17136_P12_2_2,export_TLS_J17136_P12_2_2.csv,TLS_J17136_P12_2,92686,mature
TLS_J17136_P12_3_1,export_TLS_J17136_P12_3_1.csv,TLS_J17136_P12_3,66305,involuted
TLS_J17136_P09_1_1,export_TLS_J17136_P09_1_1.csv,TLS_J17136_P09_1,156773,involuted
TLS_J17136_P09_1_2,export_TLS_J17136_P09_1_2.csv,TLS_J17136_P09_1,119072,involuted
TLS_J17136_P09_2_1,export_TLS_J17136_P09_2_1.csv,TLS_J17136_P09_2,126820,involuted
TLS_J17136_P09_3_1,export_TLS_J17136_P09_3_1.csv,TLS_J17136_P09_3,105473,involuted
TLS_J17136_P09_3_2,export_TLS_J17136_P09_3_2.csv,TLS_J17136_P09_3,103745,involuted
TLS_J17136_P09_4_1,export_TLS_J17136_P09_4_1.csv,TLS_J17136_P09_4,55593,mature
TLS_J17136_P09_4_2,export_TLS_J17136_P09_4_2.csv,TLS_J17136_P09_4,132881,involuted
TLS_OT1_1_1,export_TLS_OT1_1_1.csv,TLS_OT1_1,95016,involuted
TLS_OT1_2_1,export_TLS_OT1_2_1.csv,TLS_OT1_2,88711,mature
TLS_OT1_3_1,export_TLS_OT1_3_1.csv,TLS_OT1_3,152435,mature
TLS_OT1_4_1,export_TLS_OT1_4_1.csv,TLS_OT1_4,125877,involuted
TLS_OT6A_1_1,export_TLS_OT6A_1_1.csv,TLS_OT6A_1,120853,mature
TLS_OT6A_2_1,export_TLS_OT6A_2_1.csv,TLS_OT6A_2,404145,mature
TLS_OT6A_3_1,export_TLS_OT6A_3_1.csv,TLS_OT6A_3,147843,mature
TLS_OT6A_4_1,export_TLS_OT6A_4_1.csv,TLS_OT6A_4,147558,involuted
TLS_OT6A_5_1,export_TLS_OT6A_5_1.csv,TLS_OT6A_5,28777,mature
TLS_OT6A_5_2,export_TLS_OT6A_5_2.csv,TLS_OT6A_5,99101,involuted
TLS_OT7_1_1,export_TLS_OT7_1_1.csv,TLS_OT7_1,195370,mature
TLS_OT7_2_1,export_TLS_OT7_2_1.csv,TLS_OT7_2,280725,mature
TLS_OT7_3_1,export_TLS_OT7_3_1.csv,TLS_OT7_3,261614,involuted
TLS_OT7_3_2,export_TLS_OT7_3_2.csv,TLS_OT7_3,91571,involuted
TLS_OT7_4_1,export_TLS_OT7_4_1.csv,TLS_OT7_4,104286,involuted
TLS_OT7_4_2,export_TLS_OT7_4_2.csv,TLS_OT7_4,67984,involuted
TLS_OT7_5_1,export_TLS_OT7_5_1.csv,TLS_OT7_5,127629,involuted
